species,F,C,D
Col,0.05910026066678489,0.001327799121194122,5.450054223874684
Cs,0.032612671917054435,0.0008243686993420625,15.425044819416206
Et,0.18330210243071499,0.0014888658367561243,25.20207547468205
Eu.c,0.0034395576934738046,0.0006157461422574784,1.0918494333341542
Eu.l,0.0027578548764461254,0.0005008791017767952,1.2821267628144735
Im,0.0757263039040482,0.0015883925934189445,18.7256921328309
Ld,0.16846361185983827,0.0010554037920485894,5.48808009400017
Lsp,0.01699802246322494,0.0017997502439180215,4.991366619635046
Mi,0.0025908183231575918,0.0009510972477451585,0.928949877323289
Va,0.007308017378034007,0.018253675488757903,3.567236474149519
